job_title,job_company_name,job_location,job_salary,job_details,job_date,today_date
,Enhance IT,India•Remote,"₹6,00,000 - ₹9,00,000 a year","The candidate will work remotely with an existing on-site technical team to drive the design, development and and completion of an internal management system –…",6 days ago,22-07-21
Software Test Engineer III,Signant Health,India•Remote,Salary Not Mentioned,"Familiarity with test automation, load/performance testing, and test case management software a plus.
4-10 years mix of manual and automated end-to-end testing…",30+ days ago,22-07-21
Magento Developer,Fulfillment Center Services,India•Remote,"₹7,50,000 a year","Candidates must be willing to work from home *.
Troubleshoot and resolve bugs found in existing Magento 2 installations.
Monitor Crons, sitemap, URL Rewrites.",23 days ago,22-07-21
Software Developer,Live Eye Surveillance,"Karnal, Haryana",Salary Not Mentioned,"Deploying software tools, processes and metrics.
Researching, designing, implementing and managing software programs.
Testing and evaluating new programs.",30+ days ago,22-07-21
Software Engineer 2 (FullStack Developer),Dell Technologies,India•Remote,Salary Not Mentioned,"3-5 years of experience in software application development.
Familiarity with XP/Agile/SCRUM development methodologies and software development lifecycle…",19 days ago,22-07-21
IoT Developer,Globe13 Digital Private Limited,"Karnal, Haryana","₹2,00,000 - ₹3,00,000 a year","Software development: 1 year (Preferred).
Assembly of the physical hardware.
Design, develop, and deploy IoT Connectivity features.",13 days ago,22-07-21
Product Developer,Signant Health,India•Remote,Salary Not Mentioned,"Four+ years’ experience professionally developing software.
An understanding of software development life cycle (SDLC) and programming fundamentals.",30+ days ago,22-07-21
Senior SharePoint Microsoft 365 Developer,"EPMPOINT, INC.",India•Remote,"₹15,00,000 - ₹20,00,000 a year","BA/BS degree (preferably in information technology or software development) or equivalent strong work experience.
Job Types: Full-time, Regular / Permanent.",20 days ago,22-07-21
Java Developer,Hcode Technologies,"Karnal, Haryana•Temporarily Remote","₹4,00,000 - ₹7,20,000 a year","Proficiency in Version control softwares such as GIT.
Should be able to think through possible pitfalls and challenges and get support from senior developers.",30+ days ago,22-07-21
,Signant Health,India•Remote,Salary Not Mentioned,"Two+ years’ experience professionally developing software.
An understanding of software development life cycle (SDLC) and programming fundamentals.",5 days ago,22-07-21
Java Developer,Signant Health,India•Remote,Salary Not Mentioned,"Develops software according to requirements and design specifications.
3+ years of professional experience in software development.",30+ days ago,22-07-21
Database Developer,Hcode Technologies,"Karnal, Haryana•Temporarily Remote","₹4,00,000 - ₹12,00,000 a year","We are seeking a SQL Developer who will be responsible for designing, testing, planning, implementing, protecting, operating, managing and maintaining our…",30+ days ago,22-07-21
Software Engineer - SFDC,Dell Technologies,India•Remote,Salary Not Mentioned,"Work with clients and business analysts to settle software requirements and system impacts.
5 to 8 years of validated experience in testing/coding/IT software.",30+ days ago,22-07-21
Principal Software Engineer (IT),Dell Technologies,India•Remote,Salary Not Mentioned,"Work with clients and product managers to determine software requirements and system impacts.
The GeX organization is responsible for driving vision, strategy…",29 days ago,22-07-21
Software Development Internship,FORENSODIGITAL TECHNOLOGIES,"Karnal, Haryana",Salary Not Mentioned,"Sc (Computers, Electronics), MCA, MSc (Computers, Electronics, Mathematics).
Software Development on Mac (Apple), Linux and Windows using C and C++.",30+ days ago,22-07-21
